都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
012076,0174601336,北海道,帯広市,ベルラヴィるくる,ベルラウ゛ィルクル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,帯広市東4条南10丁目15番地,,42.921055700000000,143.211420999999970,0155-26-4111,0155-26-6030,5460101003917,株式会社　フジライフ,0174601336,,,0,https://www.rukuru.life/,,,,
012076,0174601930,北海道,帯広市,ケアタウンとてっぽの丘るくる,ケアタウントテッポノオカルクル,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道帯広市西7条南26丁目13番地1,,42.901419569893330,143.197157819712880,0155-25-7171,0155-22-2525,5460101003917,株式会社　フジライフ,0174601930,,,92,http://www.rukuru.net/,,,,
012106,0175701176,北海道,岩見沢市,介護付き高齢者住宅かえん,カイゴツキコウレイシャジュウタクカエン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市6条西13丁目38-1,,43.195927200000000,141.756621000000000,0126-35-1514,0126-22-1518,7430001047016,クリーンハウス株式会社,0175701176,,,27,http://www.clh-kk.com,,,,
012106,0175701168,北海道,岩見沢市,混合型特定施設入居者生活介護　明日家の杜,コンゴウガタトクテイシセツニュウキョシャセイカツカイゴ　アスカノモリ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市7条東7丁目2番地４,,43.202699200000000,141.776160800000070,0126-38-5080,0126-38-5080,8430001062815,株式会社メディケアサービス北海道,0175701168,,,,http://asmo.imm.co.jp,,,,
012106,0175701192,北海道,岩見沢市,サービス付き高齢者向け住宅オアシス３番館,サービスツキコウレイシャムケジュウタクオアシスサンバンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道岩見沢市２条西５丁目２番地７プライムホームオアシス１・２・３番館,プライムホームオアシス１・２・３番館,43.202965300000000,141.761059199999980,0126-24-5969,0126-24-8182,8430002050653,有限会社オアシス,0175701192,,,0,http://www.oasys-care.co.jp,,,,
012114,0175300755,北海道,網走市,サービス付き高齢者向け住宅　花・水・木,サービスツキコウレイシャムケジュウタク　ハナ・ミズ・キ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道網走市字二ツ岩1番地10サービス付き高齢者向け住宅　花・水・木,サービス付き高齢者向け住宅　花・水・木,44.049732901382800,144.258537656483470,0152-44-1288,0152-44-6488,5460301004566,タカハシライフサポート株式会社,0175300755,,,47,http://www.takahasi.co.jp,,,,
012114,0175300664,北海道,網走市,医療法人　讃生会　ありあけ２番館,イリョウホウジン　サンセイカイ　アリアケ２バンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道網走市字潮見１５７番地２,,43.991902699999980,144.267407400000000,0152-61-6061,0152-61-6062,7430005001497,医療法人讃生会,0175300664,,,0,https:www.sanseikai-med.jp>abashiri,,,,
012131,0173601808,北海道,苫小牧市,いちい,イチイ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道苫小牧市青葉町2丁目9番19号,,42.629703144073574,141.569834918385370,0144-75-8200,0144-75-8222,1430001061278,日総ふれあいケアサービス株式会社,0173601808,,,32,http://www.nisso-fcs.jp/,,,,
012131,0173602251,北海道,苫小牧市,介護付有料老人ホーム「セントラル表町」,カイゴツキユウリョウロウジンホームセントラルオモテマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道苫小牧市表町５丁目１１番５号,,42.639964727305510,141.598328131213400,0144-31-2220,0144-31-2333,4430005009122,社会福祉法人ふれんど,0173602251,,,89,http://www.friend.or.jp/roujin3/c_omotemati.html,,,,
012149,0176700839,北海道,稚内市,サービス付き高齢者向け住宅　ふれあいの里わっかない風華,サービスツキコウレイシャムケジュウタク　フレアイノサトワッカナイフウカ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道稚内市中央3丁目6番1号,,45.416727683456380,141.677409624893930,0162-22-1311,0162-22-1265,1430001061278,日総ふれあいケアサービス株式会社,0176700839,,,36,http://nisso-fcs.jp/,,,,
012203,0173200882,北海道,士別市,紫苑館,シオンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道士別市東1条15丁目3144－166紫苑舘,紫苑舘,44.167023700000000,142.397312800000000,0165-26-7878,0165-23-1151,3450001010289,株式会社　紫苑,0173200882,,,30,,,,,
012220,0176000164,北海道,三笠市,介護付き高齢者住宅ほのか三笠,カイゴツキコウレイシャジュウタクホノカミカサ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道三笠市幸町8-2,,43.245524000000000,141.875277200000030,01267-4-5020,01267-4-5022,7430001047016,クリーンハウス株式会社,0176000164,,,30,https://www.clh-kk.com/ikoinosato/,,,,
012254,0177500329,北海道,滝川市,特定施設入居者生活介護　カーサシーザーズ,トクテイシセツニュウキョシャセイカツカイゴ　カーサシーザーズ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,滝川市本町1丁目5番27号カーサシーザーズ,カーサシーザーズ,43.559072300000000,141.905400900000020,0125-44-2401,0125-22-3636,8430002052071,有限会社クリニカ,0177500329,,,39,http://caeser.jp/,,,,
012254,0177540689,北海道,滝川市,特定施設入居者生活介護カーサシーザーズ３－３,トクテイシセツニュウキョシャセイカツカイゴカーサシーザーズサンノサン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道滝川市栄町3丁目3番16号KANBE　MEDICARE　BLD,KANBE　MEDICARE　BLD,43.557869700000000,141.906595400000010,0125-74-5001,0125-74-5002,8430002052071,有限会社　クリニカ,0177540689,,,0,http://www.caeser.or.jp/casa/,,,,
012262,0177100716,北海道,砂川市,介護付高齢者住宅シニアレジデンスじけい,カイゴツキコウレイシャジュウタクシニアレジデンスジケイ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道砂川市西3条南11丁目3番20号,,43.477424900000000,141.900502999999960,0125-54-2301,0125-54-2302,1430001068067,株式会社オアゾ,0177100716,,,47,http://sakouju-jikei.com/,,,,
012297,0173000480,北海道,富良野市,サービス付き高齢者向け住宅すえひろ,サービスツキコウレイシャムケジュウタクスエヒロ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道富良野市末広町,,43.340452900000000,142.385043700000000,0167-22-8822,0167-22-8801,7430001058871,株式会社ｅ－ケア,0173000480,,,27,http://kawamura-mgp.or.jp/suehiro/,,,,
012301,0173502394,北海道,登別市,グッドタイムホーム・登別弐番館,グッドタイムホーム・ノボリベツニバンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道登別市緑町1丁目１番地6,,42.400867200000010,141.094952000000000,0143-81-7272,0143-81-7171,7290005001355,社会福祉法人創生会,0173502394,,,,http://www.goodtimehome.com,,,,
012343,0171300460,北海道,北広島市,介護付有料老人ホーム悠々,カイゴツキユウリョウロウジンホームユウユウ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道北広島市輪厚５５８番地１４３,,42.943955300000000,141.507510799999980,011-377-1101,011-377-1501,4430005004775,医療法人社団翔仁会,0171300460,,,0,http://www.shojinkai.or.jp/,,,,
012343,0171300494,北海道,北広島市,ふれあいの里華れん,フレアイノサトカレン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道北広島市虹ヶ丘７丁目２－３,,43.022239700000000,141.487838900000040,011-375-5602,011-375-5604,1430001061278,日総ふれあいケアサービス株式会社,0171300494,,,50,http://nisso-fcs.jp/,,,,
012360,0171501505,北海道,北斗市,サービス付き高齢者向け住宅ほっと,サービスツキコウレイシャムケジュウタクホット,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北斗市本町5丁目16番9号,,41.875056500000000,140.645852099999960,0138-77-0777,0138-77-2777,7440005002098,社会福祉法人ひのき会,0171501505,,,0,https://www.hinokikai.jp/,,,,
012360,0171501299,北海道,北斗市,ハッピーライフ幸縁,ハッピーライフコウエン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道北斗市久根別３丁目４番１９号,,41.826920999999984,140.663316000000000,0138-73-2571,0138-85-6698,1440002008302,有限会社ケア・アンド・ハート,0171501299,,,,https://careandheart.net/,,,,
012360,0171501596,北海道,北斗市,特定施設入居者生活介護サービス付き高齢者向け住宅北斗,トクテイシセツニュウキョシャセイカツカイゴサービスツキコウレイシャムケジュウタクホクト,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道北斗市七重浜2丁目37番5号サービス付き高齢者向け住宅北斗,サービス付き高齢者向け住宅北斗,41.816020900000000,140.705154600000010,0138-48-7878,0138-48-7879,6440002008396,有限会社ホンマワークス,0171501596,,,0,http://hokuto-sakoujyu.com,,,,
015784,0173602236,北海道,白老町,介護付有料老人ホーム「花つむぎ」,カイゴツキユウリョウロウジンホームハナツムギ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道白老郡白老町東町2丁目4番12号,,42.556587099999990,141.365322400000030,0144-82-2227,0144-85-5888,6430005008782,医療法人社団玄洋会,0173602236,,,0,http://www.douousatou.or.jp/shiraoi/shiraoi_yu_hana.html,,,,
016314,0174701144,北海道,音更町,介護付高齢者専用賃貸住宅ピアしらかば,カイゴツキコウレイシャセンヨウチンタイジュウタクピアシラカバ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道河東郡音更町木野西通１５丁目５番４,,42.966160900000000,143.202816699999970,0155-32-2525,0155-32-2323,1460101002063,株式会社しらかば,0174701144,,,29,http://www.shirakaba-group.com,,,,
016926,0174200691,北海道,中標津町,特定施設入居者生活介護つなぐ,トクテイシセツニュウキョシャセイカツカイゴツナグ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,北海道標津郡中標津町西11条南8丁目3番地サービス付き高齢者向け住宅つなぐ,サービス付き高齢者向け住宅つなぐ,43.536830500000000,144.969484100000040,0153-79-8800,0153-79-8803,3462501000693,株式会社リガール,0174200691,,,60,http://tsunagu-care.com/,,,,
022063,0270601198,青森県,十和田市,サービス付高齢者住宅リゾート「きずな」,サービスツキコウレイシャジュウタクリゾート　キズナ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県十和田市大字三本木字一本木沢19-1,,40.641018929619136,141.234466486508130,0176-58-5520,0176-58-5521,8420001010964,株式会社エコー,0270601198,,,30,https://echo-aomori.jp/welfare/,,,,
022071,0270700610,青森県,三沢市,シニアライフ大津,シニアライフオオツ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県三沢市大津二丁目１２－３７４,,40.682384900000000,141.419602100000020,0176-58-5057,0176-58-5015,8420005006018,社会福祉法人　楽晴会,0270700610,,,0,http://www.rakuseikai.or.jp/,,,,
024465,0272701608,青森県,階上町,サービス付き高齢者向け住宅　双松苑,サービスツキコウレイシャムケジュウタク　ソウショウエン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,青森県三戸郡階上町大字角柄折字餅粟久保４番地１,,40.439270400000000,141.574453599999970,０１７８－８８－１４６１,０１７８－８８－１０２５,5420005003281,特定非営利活動法人双松福祉会,0272701608,,,15,,,,,
032018,0370105231,岩手県,盛岡市,サービス付き高齢者向け住宅ゆうあいの街,サービスツキコウレイシャムケジュウタクユウアイノマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,岩手県盛岡市北飯岡1丁目2-25,,39.679249300000000,141.133203200000020,019-634-1100,019-634-1150,5400005000693,医療法人友愛会,0370105231,,,0,http://www.yu-ai.net,,,,
032018,0370106684,岩手県,盛岡市,エイジングホーム健寿庵,エイジングホームケンジュアン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,岩手県盛岡市太田六丁目16番3号エイジングホーム健寿庵,エイジングホーム健寿庵,39.698761682365830,141.113562364418070,019-656-7771,019-656-7772,3400001004832,株式会社いわて愛隣会,0370106684,,,,https://airinkai.net,,,,
032158,0371500240,岩手県,奥州市,特定施設入居者生活介護事業所安親館,トクテイシセツニュウキョシャセイカツカイゴジギョウショアンシンカン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,岩手県奥州市江刺愛宕字観音堂沖400番地1,,39.182962062944235,141.171363284655740,0197-31-2622,0197-31-1144,6400601000815,株式会社パセオ,0371500240,,,0,,,,,
032158,0371501248,岩手県,奥州市,サービス付き高齢者向け住宅反町の郷,サービスツキコウレイシャムケジュウタクソリマチノサト,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,岩手県奥州市江刺岩谷堂字反町361番地1反町福祉パーク反町の郷,反町福祉パーク反町の郷,39.182375500000010,141.184472000000000,0197-31-2711,0197-31-2781,2400605000261,社会福祉法人江刺寿生会,0371501248,,,20,http://www.esashijyuseikai.or.jp,,,,
041025,0475202776,宮城県,仙台市宮城野区,特定施設入居者生活介護　ピーコムライフ鶴ケ谷,トクテイシセツニュウキョシャセイカツカイゴ　ピーコムライフツルガヤ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県仙台市宮城野区鶴ケ谷東1-1-5ピーコムライフ鶴ケ谷,ピーコムライフ鶴ケ谷,38.288353388845290,140.924886083467070,022-766-8085,022-766-8086,3380001008134,株式会社ＰＣＬ,0475202776,,,43,http://www.momotarousan.com/index.php,,,,
041025,0475203162,宮城県,仙台市宮城野区,アースサポートクオリア仙台高砂,アースサポートクオリアセンダイタカサゴ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県仙台市宮城野区福室3丁目24番18号,,38.282411400000000,140.972981000000000,022-387-1300,022-387-1301,2011001027780,アースサポート株式会社,0475203162,,,66,http://www.earthsupport.co.jp,,,,
041033,0475302113,宮城県,仙台市若林区,アースサポートクオリア仙台大和町,アースサポートクオリアセンダイヤマトマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県仙台市若林区大和町5丁目30番25号,,38.247925300000000,140.924395499999950,022-782-5711,022-782-6322,2011001027780,アースサポート株式会社,0475302113,,,0,http://www.earthsupport.co.jp,,,,
041041,0475403267,宮城県,仙台市太白区,特定施設　第三白東苑,トクテイシセツ　ダイサンハクトウエン,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県仙台市太白区袋原4丁目35-35特定施設　第三白東苑,特定施設　第三白東苑,38.198607738904480,140.915499944180280,022-302-5514,022-306-2250,8370005001478,社会福祉法人　仙台ビーナス会,0475403267,,,30,https://sendai-venus.jp,,,,
041050,0475504056,宮城県,仙台市泉区,サービス付き高齢者向け住宅こもれび（特定施設）,サービスツキコウレイシャムケジュウタクコモレビ（トクテイシセツ）,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県仙台市泉区泉中央南１４番地,,38.320281000000000,140.870622500000000,022-725-8505,022-725-8506,2370005002928,医療法人ならの杜,0475504056,,,0,http://www.tanpopoclinic.jp,,,,
042021,0470202771,宮城県,石巻市,サービス付き高齢者住宅はなことば石巻,サービスツキコウレイシャジュウタクハナコトバイシノマキ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県石巻市駅前北通り一丁目14番21号,,38.438167500000000,141.306844100000030,0225-98-7803,0225-98-7804,7021001035175,プラウドライフ株式会社,0470202771,,,46,https://hanakotoba.co.jp/facility/ishinomaki.html,,,,
042081,0470800525,宮城県,角田市,シルバーランド　ドンクマサーかくだ,シルバーランド　ドンクマサーカクダ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県角田市梶賀字東40番地1号,,37.988520726046694,140.791645351589980,0224-87-6294,0224-87-8298,6370002018329,有限会社　ウェルファー,0470800525,,,,http://www.dnkmsa.co.jp/,,,,
042111,0471100503,宮城県,岩沼市,介護付き有料老人ホームルポたけくま,カイゴツキユウリョウロウジンホームルポタケクマ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県岩沼市たけくま1丁目20番2号介護付き有料老人ホームルポたけくま,介護付き有料老人ホームルポたけくま,38.109364600000000,140.860789000000070,0223-25-2588,0223-25-2589,4370001012607,株式会社ウェル,0471100503,,,60,http://www.well-nanten.jp/,,,,
042153,0471502708,宮城県,大崎市,介護付き有料老人ホーム和笑の家,カイゴツキユウリョウロウジンホームワショウノイエ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,宮城県大崎市大幡字新田81,,38.557493832649220,140.964659742297400,0229-25-3817,0229-25-3818,5370202004113,有限会社穂乃香,0471502708,,,31,http://www.honoka-world.com,,,,
052019,0570126896,秋田県,秋田市,特定施設入居者生活介護事業所きららいずみ,トクテイシセツニュウキョシャセイカツカイゴジギョウショキラライズミ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市泉馬場13-20,,39.733535053874434,140.126488801292800,018-838-5068,018-838-5069,2410002002356,株式会社きららホールディングス,0570126896,,,,http://kirara-tp.co.jp,,,,
052019,0570124099,秋田県,秋田市,みんなのまち,ミンナノマチ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市新屋比内町22番22号,,39.672148505837930,140.085975313491870,018-828-2721,018-828-2730,8410001010370,セントシェアハウス株式会社,0570124099,,,30,http://www.ssh-minna.com/,,,,
052019,0570118265,秋田県,秋田市,介護付高齢者優良賃貸住宅ほのか,カイゴツキコウレイシャユウリョウチンタイジュウタクホノカ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市広面字糠塚１０２－１,,39.726606000000010,140.150681699999980,018-884-7736,018-884-7737,5410001002825,株式会社　フォーエバー,0570118265,,,0,http://www.jkk-sotohp.or.jp/honoka/,,,,
052019,0570117895,秋田県,秋田市,アルテンハウゼ手形住吉町,アルテンハウゼ　テガタスミヨシチョウ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田市手形住吉町1番3号三愛会ビル,三愛会ビル,39.725325000000000,140.130025299999940,018-874-7553,018-884-0525,2410005000530,医療法人　三愛会,0570117895,,,60,https://altenhause.jp/,,,,
052019,0570119248,秋田県,秋田市,サービス付き高齢者向け住宅　優希,サービスツキコウレイシャムケジュウタク　ユウキ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市南ヶ丘1丁目3番2号,,39.688588500000000,140.155299799999970,018-892-7108,018-892-7109,1050005007423,医療法人祥仁会,0570119248,,,0,,,,,
052019,0570126375,秋田県,秋田市,ゆきわり草,ユキワリソウ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市川元むつみ町3-32,,39.708251600000000,140.104366000000030,018-823-5320,018-824-2751,4410001010894,株式会社　ＫＲＫコーポレーション,0570126375,,,0,http://yukiwarisou.co.jp,,,,
052019,0570124198,秋田県,秋田市,サ高住らいらっく外旭川,サコウジュウライラックソトアサヒカワ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市外旭川字神田１１２番地,,39.747466548123796,140.102775397908770,018-868-1133,018-868-6644,4410001003667,来楽株式会社,0570124198,,,0,http://lilac-welfare.co.jp/smarts/index/1/,,,,
052019,0570121962,秋田県,秋田市,ひとむすび泉,ヒトムスビイズミ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市泉北１丁目１３番５号,,39.735827150017464,140.100759166435980,018-827-3911,018-827-3912,7410001003714,株式会社いわま薬局,0570121962,,,20,http://iwama-ph.co.jp/,,,,
052019,0570124172,秋田県,秋田市,サービス付き高齢者向け住宅　拓稜ハウス土崎南,サービスツキコウレイシャムケジュウタク　タクリョウハウスツチザキミナミ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市土崎港南二丁目４番４０号,,39.748384300000000,140.071584900000060,018-838-0636,018-857-0330,9410001004685,株式会社シンワ,0570124172,,,37,http://www.takuryo-care.jp,,,,
052019,0570125732,秋田県,秋田市,さらさ秋田駅前,サラサアキタエキマエ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市中通4丁目17番15号,,39.714376200000000,140.128037299999960,018-827-5153,018-827-5154,8410001011823,株式会社ＪＡＷＡ秋田,0570125732,,,50,http://www.jawa-akita.com,,,,
052019,0570127027,秋田県,秋田市,特定施設サービス付き高齢者向け住宅ひかり,トクテイシセツサービスツキコウレイシャムケジュウタクヒカリ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市桜一丁目9-13,,39.710831900000000,140.148251700000000,018-874-8835,018-874-8845,5410005005361,医療法人杏仁会,0570127027,,,,http://kyojinkai.com,,,,
052019,0570126961,秋田県,秋田市,サービス付き高齢者向け住宅　さらさ秋田土崎,サービスツキコウレイシャムケジュウタク　サラサアキタツチザキ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市土崎港南3丁目2番46号,,39.754877099999995,140.065035900000030,018-853-7866,018-853-7867,8410001011823,株式会社ＪＡＷＡ秋田,0570126961,,,0,https://www.jawa-akita.com,,,,
052019,0570124750,秋田県,秋田市,ひとむすび八橋,ヒトムスビヤバセ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市寺内字イサノ24番1号,,39.739417064818745,140.094162104832430,018-893-5400,018-893-5800,7410001003714,株式会社　いわま薬局,0570124750,,,25,http://iwama-ph.co.jp/facility/,,,,
052019,0570119016,秋田県,秋田市,きらら特定施設入居者生活介護事業所竿燈通り,キララトクテイシセツニュウキョシャセイカツカイゴジギョウショカントウドオリ,特定施設入居者生活介護（有料老人ホーム（サービス付き高齢者向け住宅））,秋田県秋田市大町二丁目5－1きららアーバンパレス,きららアーバンパレス,39.718847400000000,140.113535500000000,018-895-7265,018-895-7266,2410002002356,株式会社　きららホールディングス,0570119016,,,30,http://kirara-tp.co.jp,,,,
